Vendor_ID,month,Passengers_sum,Passengers_mean,Ride_Count
T00002,2013-11,15324823,2.1133294086318886,7251507.0
T00002,2013-12,15010175,2.126902925371375,7057291.999999999
T00002,2014-01,15841601,1.8329917268831402,8642483.63353904
T00002,2014-02,15294712,1.8022764274511176,8486329.71448817
T00002,2014-03,18001076,1.7879650200811579,10067912.849426389
T00002,2014-04,17142342,1.7923946113951326,9563933.015094843
T00002,2014-05,17439726,1.8011979909504006,9682292.61170669
T00002,2014-06,16376561,1.8005510807818808,9095304.862380553
T00002,2014-07,15572085,1.78866086129337,8706001.980017563
T00002,2014-08,15315075,1.7847355129626783,8581145.43514452
T00002,2014-09,15912832,1.7726876545868517,8976669.950188544
T00002,2014-10,16912144,1.77315306289529,9537892.894810239
T00002,2014-11,15895821,1.847182705383284,8605440.573731266
T00002,2014-12,15803217,1.764331898092891,8957054.51853026
T00002,2015-01,15408553,1.751160347034358,8799053.16842906
T00002,2015-02,15147337,1.7447113777630663,8681858.325140713
T00002,2015-03,16200387,1.7427333602931814,9295964.241640842
T00002,2015-04,15825435,1.7427387874521278,9080784.288468542
T00002,2015-05,16107693,1.7438760796058541,9236718.817566793
T00002,2015-06,15088316,1.7396282984097882,8673298.781005334
T00002,2015-07,14287743,1.740711208776363,8207991.611683596
T00002,2015-08,13852013,1.740805783272649,7957242.061753001
T00002,2015-09,13852141,1.7311795276008735,8001562.390930512
T00002,2015-10,15008765,1.7265877654150144,8692732.16261462
T00002,2015-11,13764496,1.4807192773047255,9295817.38481502
T00002,2015-12,14050170,1.7192975535029233,8172040.942752444
T00002,2016-01,13454695,1.7200731897489532,7822164.242885345
T00002,2016-02,13881495,1.7083477888651228,8125684.413020872
T00002,2016-03,14788573,1.7043446685809027,8676984.927182296
T00002,2016-04,14430171,1.7105179181030834,8436141.385763826
T00002,2016-05,14285922,1.7052693933043888,8377516.218899249
T00002,2016-06,13375326,1.7008161847705847,7864063.218450697
T00002,2016-07,12507349,1.7007359077613327,7354080.63234423
T00002,2016-08,12142703,1.699613200407225,7144392.028192429
T00002,2016-09,12109185,1.681594839172684,7201012.228342419
T00002,2016-10,12884878,1.6882590830057946,7632050.157289618
T00002,2016-11,11929711,1.6852479215784795,7078905.629995433
T00002,2016-12,12394540,1.6849469928399021,7356041.497251829
T00002,2017-01,11567787,1.4553335549724007,7948546.888427495
T00002,2017-02,10916240,1.6763325734859207,6511977.4993692115
T00002,2017-03,12134336,1.6753237587481695,7242979.714599752
T00002,2017-04,11765599,1.6716672318246686,7038242.286509104
T00002,2017-05,11818196,1.6714708868528607,7070536.551343687
T00002,2017-06,11302619,1.667978546321268,6776237.635027119
T00002,2017-07,10271159,1.6744145934678323,6134179.097619841
T00002,2017-08,10067094,1.7287827394040596,5823226.811872437
T00002,2017-09,10601838,1.5238862478388884,6957105.896214421
T00002,2017-10,11358876,1.5273452408232018,7437006.183276444
T00002,2017-11,10740066,1.5782244429391734,6805157.560478826
T00002,2017-12,11094733,1.5338303871915966,7233350.631626334
T00002,2018-01,10284669,1.348010580488882,7629516.525211595
T00002,2018-02,9906967,1.3736330305569042,7212237.02372931
T00002,2018-03,11052895,1.3830866747047976,7991469.516803132
T00002,2018-04,10810127,1.758263596478876,6148183.367754708
T00002,2018-05,10727797,1.79535919190714,5975292.881979945
T00002,2018-06,10186659,1.6620840212350205,6128847.200173881
T00002,2018-07,9428923,1.613736438824235,5842913.857029772
T00002,2018-08,9398905,1.6892661289621866,5563898.333635735
T00002,2018-09,9473416,1.6088970168114614,5888143.18195118
T00002,2018-10,10104692,2.1960195531791302,4601367.044009993
